"","Date","Day","Position","Mark","Sex","Tank","Group","Trial","Fish_ID","Notes","tot_dist","mean_velocity","velocity_sd","velocity_se","high_freq","high_duration","mid_freq","mid_duration","low_freq","low_duration","low_mid_high_trans","high_mid_low_trans","freezing_freq","freezing_dur","tot_duration","Weight(g)"
"283","19/08/2019","Monday","5","Ora.Pin","male","HA_C2","Control","15","a7408",NA,2259.66,5.02236,3.21479,0.0428676,14,61.04,37,107.28,24,281.68,14,13,8,0.96,450,0.403
"284","11/09/2019","Wednesday","6","Ora.Pin","male","HA_C2","Control","13","a7408",NA,2102.25,4.67251,3.12318,0.0416462,19,81.28,40,85.12,22,283.6,7,5,15,1.68,450,0.403
"285","2/08/2019","Friday","4","Ora.Whi","female","HA_T4","Treatment","23","a7409",NA,1936.61,4.30433,2.59058,0.0345441,13,42.32,35,130.16,23,277.52,2,3,6,0.56,450,0.893
"286","19/08/2019","Monday","1","Ora.Whi","female","HA_T4","Treatment","7","a7409",NA,1357.6,3.01742,2.10902,0.0281227,2,13.2,14,78.08,12,358.72,1,1,14,16.72,450,0.893
"287","11/09/2019","Wednesday","5","Ora.Whi","female","HA_T4","Treatment","9","a7409",NA,1228.7,2.73093,1.93946,0.0258617,3,20.24,12,70.16,10,359.6,2,2,18,11.44,450,0.893
"288","2/08/2019","Friday","5","Ora.Yel","male","HA_T2","Treatment","7","a7411",NA,1687.33,3.75028,2.2901,0.0305373,8,18.56,26,103.36,18,328.08,2,1,7,0.64,450,0.506
"289","19/08/2019","Monday","2","Ora.Yel","male","HA_T2","Treatment","20","a7411",NA,1842.87,4.096,3.1623,0.0421677,14,77.6,28,56.72,15,315.68,9,9,10,1.04,450,0.506
"290","11/09/2019","Wednesday","1","Ora.Yel","male","HA_T2","Treatment","24","a7411",NA,2127.83,4.72934,3.65403,0.0487247,19,64.08,39,74.48,21,311.44,10,10,13,1.6,450,0.506
"291","2/08/2019","Friday","4","Ora.Ora","male","HA_T1","Treatment","1","a7412",NA,2439.36,5.42177,2.79462,0.0372649,21,69.92,51,173.84,31,206.24,8,5,5,0.4,450,0.583
"292","19/08/2019","Monday","1","Ora.Ora","male","HA_T1","Treatment","13","a7412",NA,833.646,1.85288,1.8855,0.0251423,0,0,0,0,1,450,0,0,36,106.48,450,0.583
"293","11/09/2019","Wednesday","5","Ora.Ora","male","HA_T1","Treatment","15","a7412",NA,1218.73,2.70925,1.65939,0.0221292,0,0,0,0,1,449.92,0,0,10,1.12,449.92,0.583
"294","2/08/2019","Friday","3","_.Ora","male","HA_T3","Treatment","14","a7414","RE-RUN AFTER WATER CHANGE",1748.38,3.88597,2.38745,0.0318355,3,22.4,22,70.64,19,356.96,1,0,6,0.88,450,0.455
"295","19/08/2019","Monday","1","_.Ora","male","HA_T3","Treatment","25","a7414",NA,1989.69,4.42232,2.67474,0.0356663,12,58.64,29,115.2,18,276.16,6,3,5,0.4,450,0.455
"296","11/09/2019","Wednesday","6","_.Ora","male","HA_T3","Treatment","3","a7414",NA,1075.52,2.39047,1.8665,0.0248888,0,0,0,0,1,450,0,0,22,39.36,450,0.455
"297","2/08/2019","Friday","3","Yel.Yel","female","HA_C4","Control","19","a7418",NA,2021.67,4.49339,2.71875,0.0362532,21,108.88,42,113.68,22,227.44,9,6,7,1.12,450,0.507
"298","19/08/2019","Monday","4","Yel.Yel","female","HA_C4","Control","22","a7418",NA,1678.87,3.73148,2.33295,0.0311087,10,49.04,18,84.08,9,316.88,5,3,11,0.96,450,0.507
"299","11/09/2019","Wednesday","4","Yel.Yel","female","HA_C4","Control","7","a7418","Fish jumped out of container",1281.89,2.84915,2.03583,0.0271468,8,36.88,14,55.44,7,357.68,4,0,20,21.2,450,0.507
"300","2/08/2019","Friday","6","Bro.Whi","female","HA_C4","Control","17","a7438",NA,1301,2.89162,1.68621,0.0224848,0,0,1,0.48,2,449.52,0,0,12,6.16,450,0.682
"301","19/08/2019","Monday","6","Bro.Whi","female","HA_C4","Control","23","a7438",NA,1121.18,2.49196,1.58057,0.0210761,0,0,2,1.52,2,448.48,0,0,14,18.48,450,0.682
"302","11/09/2019","Wednesday","2","Bro.Whi","female","HA_C4","Control","7","a7438",NA,1066.19,2.36972,1.57319,0.0209778,0,0,1,0.24,2,449.76,0,0,22,24.24,450,0.682
"303","2/08/2019","Friday","3","Bro.Ora","female","HA_T4","Treatment","21","a7439",NA,2043.48,4.54188,2.43671,0.0324923,16,126.32,38,96.88,23,226.8,11,9,8,0.64,450,0.571
"304","19/08/2019","Monday","4","Bro.Ora","female","HA_T4","Treatment","6","a7439",NA,1281.65,2.84861,1.95643,0.0260881,9,30.64,22,87.44,13,331.92,2,1,12,12.08,450,0.571
"305","11/09/2019","Wednesday","2","Bro.Ora","female","HA_T4","Treatment","8","a7439",NA,1233.59,2.7418,1.63543,0.0218077,0,0,5,6.8,6,443.2,0,0,22,7.36,450,0.571
"306","2/08/2019","Friday","6","_.Blu","female","HA_T3","Treatment","14","a7459","RE-RUN AFTER WATER CHANGE",1664.48,3.69951,2.09134,0.027887,20,317.92,23,115.12,4,16.96,2,3,3,0.24,450,0.634
"307","19/08/2019","Monday","3","_.Blu","female","HA_T3","Treatment","27","a7459",NA,1852.05,4.11639,3.05986,0.0408018,16,159.28,32,100.64,17,190.08,7,10,7,0.88,450,0.634
"308","11/09/2019","Wednesday","3","_.Blu","female","HA_T3","Treatment","2","a7459",NA,1284.85,2.85573,1.63167,0.0217575,4,80.56,8,21.12,4,348.32,1,1,6,0.56,450,0.634
"309","2/08/2019","Friday","2","Blu.Bla","male","HA_T2","Treatment","10","a7461",NA,2106.58,4.68213,3.36343,0.0448498,13,66.48,37,79.04,25,304.48,9,9,17,1.84,450,0.438
"310","19/08/2019","Monday","2","Blu.Bla","male","HA_T2","Treatment","19","a7461",NA,2442.82,5.42945,3.62444,0.0483302,20,87.52,50,92.64,31,269.84,12,8,5,0.4,450,0.438
