Mark,Sex,ID,Treatment_Tank,fish_length_cm,Week ,Measure
Bla.Gre,female,a7608,HA_T4,3.467,6,2
Whi.Ora,female,a7646,HA_T4,3.21,6,2
Red.Pur,male,a8062,HA_T4,3.372,6,2
Red.Yel,male,a7321,HA_T4,2.992,6,2
Ora.Bla,male,a7494,HA_T4,3.084,6,2
Blu.Bla,male,a6891,HA_T4,3.265,6,2
Bla.Pin,female,a7138,HA_T4,3.28,6,2
_.Red,male,a8057,HA_T4,3.335,6,2
Gre.Yel,male,a7682,HA_T4,3,6,2
Bro.Ora,female,a7439,HA_T4,2.973,6,2
Ora.Ora,female,a7379,HA_T5,2.674,0,2
Pin.Bro,male,a7191,HA_T5,2.513,0,2
_.Ora,male,a7487,HA_T5,2.788,0,2
Red.Bla,female,a7663,HA_T5,2.811,0,2
Ora.Pur,female,a7405,HA_T5,2.859,0,2
Gre.Bro,male,a7683,HA_T5,2.655,0,2
Whi._,female,a8050,HA_T5,2.94,0,2
Pin.Pur,female,a8044,HA_T5,2.565,0,2
Gre.Ora,female,a7010,HA_T5,2.511,0,2
_.Gre,male,a6864,HA_T5,2.471,0,2
Red.Blu,male,a7092,HA_T5,2.501,0,2
Pur.Gre,male,a8074,HA_T5,2.5,0,2
Red.Ora,female,a7567,HA_T5,2.815,0,2
Pin.Bla,male,a7551,HA_T5,2.207,0,2
Red.Pur,male,a7325,HA_T5,2.687,0,2
_.Blu,female,a7459,HA_T5,2.414,0,2
_.Red,female,a7219,HA_T5,2.708,0,2
Bro._,female,a7050,HA_T5,2.703,0,2
Gre.Whi,male,a6833,HA_T5,2.551,0,2
Pin.Yel,male,a7282,HA_T5,2.378,0,2
Blu.Pin,male,a6882,HA_T5,2.811,0,2
Bla.Bro,female,a7605,HA_T5,2.757,0,2
Pur.Bro,female,a6937,HA_T5,2.27,0,2
Bla.Pin,female,a7253,HA_T5,2.611,0,2
