Mark,Sex,Fish_ID,Tank,Treatment_Tank,Weight(g),Fish_Length_cm,BMI,K Index,Date,Week,Age_Days,Notes
_.Pin,female,a7279,HA_C3,Control,0.603,3.175,0.05981772,,13/06/2019,4,140,
Red.Whi,female,a7322,HA_C3,Control,0.547,3.225,0.052592993,,13/06/2019,4,140,Whi on same side
Bro.Ora,male,a7361,HA_C3,Control,0.362,3.04,0.039170706,,13/06/2019,4,140,
Ora.Bro,male,a7407,HA_C3,Control,0.426,3.29,0.039356621,,13/06/2019,4,140,
Red.Blu,male,a7466,HA_C3,Control,0.274,2.817,0.034528433,,13/06/2019,4,140,
Red.Red,female,a7497,HA_C3,Control,0.378,3.241,0.035986013,,13/06/2019,4,140,
Pin.Blu,female,a7552,HA_C3,Control,0.475,3.026,0.05187472,,13/06/2019,4,140,
Red.Bro,male,a7564,HA_C3,Control,0.286,2.836,0.035559331,,13/06/2019,4,140,
Red._,male,a7611,HA_C3,Control,0.337,2.805,0.042831587,,13/06/2019,4,140,
Bla.Blu,female,a7660,HA_C3,Control,0.474,3.239,0.045181063,,13/06/2019,4,140,"twoblack spots on left, one on right"
Gre.Pin,female,a7679,HA_C3,Control,0.451,3.157,0.045250916,,13/06/2019,4,140,
Pur._,male,a7730,HA_C3,Control,0.324,3.006,0.035856431,,13/06/2019,4,140,
_.Yel,male,a6807,HA_C4,Control,0.308,3.065,0.0327861,,13/06/2019,4,140,
_.Pin,male,a6839,HA_C4,Control,0.305,3.044,0.032916264,,13/06/2019,4,140,
Blu.Whi,male,a6884,HA_C4,Control,0.366,3.054,0.039241267,,13/06/2019,4,140,
Pur._,female,a6930,HA_C4,Control,0.488,3.294,0.044975151,,13/06/2019,4,140,female
Gre.Yel,female,a6971,HA_C4,Control,0.403,3.135,0.041004352,,13/06/2019,4,140,
_.Gre,female,a7020,HA_C4,Control,0.339,2.819,0.04265889,,13/06/2019,4,140,
_.Ora,female,a7059,HA_C4,Control,0.492,3.203,0.047956914,,13/06/2019,4,140,
Red.Gre,female,a7090,HA_C4,Control,0.488,3.383,0.042639866,,13/06/2019,4,140,
Whi.Ora,male,a7184,HA_C4,Control,0.3,2.908,0.035475821,,13/06/2019,4,140,
Blu.Bla,female,a7201,HA_C4,Control,0.435,3.111,0.044945812,,13/06/2019,4,140,
Whi.Pur,female,a7259,HA_C4,Control,0.292,2.852,0.035899121,,13/06/2019,4,140,
Pin.Red,male,a7286,HA_C4,Control,0.351,3.128,0.03587349,,13/06/2019,4,140,very small red dot
Bro._,female,a7367,HA_C4,Control,0.492,3.13,0.050219968,,13/06/2019,4,140,
Yel.Yel,female,a7418,HA_C4,Control,0.409,3.076,0.043226557,,13/06/2019,4,140,
Bro.Whi,female,a7438,HA_C4,Control,0.539,3.127,0.05512302,,13/06/2019,4,140,
Ora.Gre,male,a7492,HA_C4,Control,0.251,2.832,0.031295884,,13/06/2019,4,140,might be injured
_.Pur,male,a7539,HA_C4,Control,0.334,2.961,0.038095147,,13/06/2019,4,140,replacement fish 17/5/19
Pur.Red,female,a7578,HA_C4,Control,0.394,3.102,0.040946109,,13/06/2019,4,140,
Bla.Bla,female,a7601,HA_C4,Control,0.54,3.353,0.048031556,,13/06/2019,4,140,
Whi.Whi,male,a7661,HA_C4,Control,0.326,2.939,0.037741437,,13/06/2019,4,140,could be male
Pin.Blu,male,a7696,HA_C4,Control,0.329,2.87,0.039942211,,13/06/2019,4,140,
Pur.Blu,male,a7737,HA_C4,Control,0.278,2.768,0.036283788,,13/06/2019,4,140,very small blu dot
Pin.Bla,female,a8045,HA_C4,Control,0.35,2.923,0.04096476,,13/06/2019,4,140,
Yel.Pin,male,a8066,HA_C4,Control,0.289,3.051,0.031046556,,13/06/2019,4,140,
Bla._,female,a6800,HA_C5,Control,0.298,2.691,0.041151803,,13/06/2019,4,140,
Pin.Blu,male,a6843,HA_C5,Control,0.343,3.126,0.035100732,,13/06/2019,4,140,
Red.Gre,female,a6895,HA_C5,Control,0.393,3.04,0.042525104,,13/06/2019,4,140,looks female
Ora.Yel,female,a6966,HA_C5,Control,0.401,3.102,0.041673578,,13/06/2019,4,140,
Gre.Pin,male,a7013,HA_C5,Control,0.333,3.016,0.036608468,,13/06/2019,4,140,looks male
Red.Pin,female,a7044,HA_C5,Control,0.463,3.179,0.045814182,,13/06/2019,4,140,
Bro.Whi,female,a7088,HA_C5,Control,0.266,2.77,0.034667466,,13/06/2019,4,140,
Gre.Bro,male,a7124,HA_C5,Control,0.265,2.967,0.03010307,,13/06/2019,4,140,
Blu.Red,female,a7200,HA_C5,Control,0.408,2.98,0.045943876,,13/06/2019,4,140,
Bro.Bla,male,a7242,HA_C5,Control,0.32,2.91,0.037788878,,13/06/2019,4,140,bro small dot; looks male
Pin.Pur,female,a7285,HA_C5,Control,0.51,3.185,0.05027491,,13/06/2019,4,140,female
Yel.Ora,male,a7335,HA_C5,Control,0.274,2.783,0.035377256,,13/06/2019,4,140,
_._,female,a7381,HA_C5,Control,0.448,3.073,0.047440897,,13/06/2019,4,140,replacement fish 17/5/19
Pur._,female,a7415,HA_C5,Control,0.385,3.005,0.042635541,,13/06/2019,4,140,
_.Blu,female,a7440,HA_C5,Control,0.519,3.069,0.055102789,,13/06/2019,4,140,
_.Red,male,a7496,HA_C5,Control,0.346,3.109,0.035796013,,13/06/2019,4,140,
Pur.Pur,female,a7540,HA_C5,Control,0.308,2.811,0.03897885,,13/06/2019,4,140,
Red.Whi,female,a7559,HA_C5,Control,0.368,2.544,0.056860884,,13/06/2019,4,140,
Bla.Blu,female,a7607,HA_C5,Control,0.41,3.141,0.041557363,,13/06/2019,4,140,
Whi.Gre,female,a7647,HA_C5,Control,0.326,3.052,0.034998428,,13/06/2019,4,140,
Gre.Bla,male,a7687,HA_C5,Control,0.305,3.187,0.030028643,,13/06/2019,4,140,
_.Pur,male,a7731,HA_C5,Control,0.299,2.873,0.036224295,,13/06/2019,4,140,
_.Pin,male,a8043,HA_C5,Control,0.287,2.825,0.035962096,,13/06/2019,4,140,
Red.Ora,female,a8061,HA_C5,Control,0.38,3.055,0.040715631,,13/06/2019,4,140,looks female
_.Pur,female,a6825,HA_T1,Treatment,0.591,3.362,0.0522868,,14/06/2019,4,140,
Gre.Whi,male,a6833,HA_T1,Treatment,0.358,2.947,0.041221402,,14/06/2019,4,140,small white dot
Pin.Whi,female,a6846,HA_T1,Treatment,0.449,3.434,0.038075513,,14/06/2019,4,140,
Red.Pin,female,a6894,HA_T1,Treatment,0.552,3.535,0.04417334,,14/06/2019,4,140,
Bla.Pur,female,a6925,HA_T1,Treatment,0.528,3.584,0.041105309,,14/06/2019,4,140,
Red.Whi,male,a6991,HA_T1,Treatment,0.37,3.456,0.030978063,,14/06/2019,4,140,
Blu.Whi,male,a6998,HA_T1,Treatment,0.384,3.269,0.035933654,,14/06/2019,4,140,
Ora.Pur,male,a7062,HA_T1,Treatment,0.406,3.302,0.037236761,,14/06/2019,4,140,
Bro.Yel,female,a7087,HA_T1,Treatment,0.453,3.387,0.039488243,,14/06/2019,4,140,
Ora._,male,a7155,HA_T1,Treatment,0.364,3.364,0.032165434,,14/06/2019,4,140,
Blu.Yel,female,a7206,HA_T1,Treatment,0.386,3.3,0.035445363,,14/06/2019,4,140,
_.Whi,male,a7269,HA_T1,Treatment,0.291,2.963,0.03314589,,14/06/2019,4,140,
Gre.Gre,female,a7292,HA_T1,Treatment,0.465,3.279,0.043248407,,14/06/2019,4,140,
_.Red,female,a7319,HA_T1,Treatment,0.51,3.052,0.054752142,,14/06/2019,4,140,
Whi.Bla,female,a7374,HA_T1,Treatment,0.469,3.2,0.045800781,,14/06/2019,4,140,female
Ora.Ora,male,a7412,HA_T1,Treatment,0.415,3.457,0.034725566,,14/06/2019,4,140,
Red.Red,male,a7468,HA_T1,Treatment,0.371,3.141,0.037604346,,14/06/2019,4,140,
Ora.Pin,female,a7488,HA_T1,Treatment,0.416,3.561,0.032805706,,14/06/2019,4,140,
Pin.Pin,female,a7550,HA_T1,Treatment,0.521,3.3,0.047842057,,14/06/2019,4,140,
Red.Pur,male,a7560,HA_T1,Treatment,0.303,2.807,0.038455442,,14/06/2019,4,140,
Bla._,male,a7599,HA_T1,Treatment,0.342,3.287,0.031653862,,14/06/2019,4,140,
Bro.Bro,female,a7662,HA_T1,Treatment,0.596,3.549,0.047318859,,14/06/2019,4,140,
Pin.Bro,female,a7697,HA_T1,Treatment,0.705,3.506,0.057354209,,14/06/2019,4,140,
Bro.Whi,male,a7723,HA_T1,Treatment,0.303,2.868,0.036837007,,14/06/2019,4,140,
Pin.Pin,female,a6840,HA_T2,Treatment,0.606,3.612,0.046449083,,14/06/2019,4,140,
Blu.Ora,female,a6883,HA_T2,Treatment,0.532,3.41,0.045751241,,14/06/2019,4,140,
Pur.Pur,female,a6932,HA_T2,Treatment,0.588,3.593,0.045547327,,14/06/2019,4,140,
Red.Yel,male,a6987,HA_T2,Treatment,0.398,3.342,0.03563446,,14/06/2019,4,140,
Gre.Bla,male,a7015,HA_T2,Treatment,0.321,2.96,0.036637144,,14/06/2019,4,140,
Pin._,male,a7054,HA_T2,Treatment,0.35,3.18,0.034610973,,14/06/2019,4,140,
Red.Ora,female,a7089,HA_T2,Treatment,0.511,3.426,0.043535765,,14/06/2019,4,140,
Bla.Bro,male,a7142,HA_T2,Treatment,0.412,3.325,0.037266098,,14/06/2019,4,140,
Pur._,male,a7167,HA_T2,Treatment,0.301,2.937,0.03489463,,14/06/2019,4,140,
Red.Pur,female,a7222,HA_T2,Treatment,0.555,3.357,0.049248193,,14/06/2019,4,140,
Bro.Blu,male,a7251,HA_T2,Treatment,0.278,2.95,0.031944843,,14/06/2019,4,140,
Pin.Blu,female,a7288,HA_T2,Treatment,0.613,3.551,0.048613751,,14/06/2019,4,140,
Whi.Pin,male,a7375,HA_T2,Treatment,0.345,3.221,0.033253522,,14/06/2019,4,140,
Ora.Yel,male,a7411,HA_T2,Treatment,0.359,3.316,0.032648663,,14/06/2019,4,140,
Blu.Bla,male,a7461,HA_T2,Treatment,0.32,3.124,0.032788982,,14/06/2019,4,140,small black dot
Red._,female,a7495,HA_T2,Treatment,0.336,3.136,0.034165452,,14/06/2019,4,140,
Red.Red,male,a7570,HA_T2,Treatment,0.438,3.461,0.036565449,,14/06/2019,4,140,
Bla.Pin,female,a7604,HA_T2,Treatment,0.459,3.171,0.045647837,,14/06/2019,4,140,
Whi.Bro,female,a7649,HA_T2,Treatment,0.487,3.451,0.040892065,,14/06/2019,4,140,
Gre.Blu,female,a7684,HA_T2,Treatment,0.519,3.153,0.052205879,,14/06/2019,4,140,
Bro.Gre,male,a7724,HA_T2,Treatment,0.378,3.125,0.0387072,,14/06/2019,4,140,
Whi._,female,a8050,HA_T2,Treatment,0.546,3.472,0.045293221,,14/06/2019,4,140,
Yel.Gre,female,a8067,HA_T2,Treatment,0.493,3.229,0.047283632,,14/06/2019,4,140,
Ora.Pur,female,a8071,HA_T2,Treatment,0.527,3.265,0.049436105,,14/06/2019,4,140,
Bla.Blu,male,a6808,HA_T3,Treatment,0.363,3.265,0.034051814,,14/06/2019,4,140,looks male
Pin.Pur,male,a6842,HA_T3,Treatment,0.402,3.284,0.037275181,,14/06/2019,4,140,looks male
Yel.Pin,male,a6996,HA_T3,Treatment,0.391,3.235,0.037361834,,14/06/2019,4,140,
Gre.Gre,female,a7019,HA_T3,Treatment,0.574,3.299,0.052740867,,14/06/2019,4,140,acually female
Red.Bro,male,a7045,HA_T3,Treatment,0.382,3.237,0.036456751,,14/06/2019,4,140,
Red.Bla,female,a7091,HA_T3,Treatment,0.507,3.326,0.045831436,,14/06/2019,4,140,
Bla.Whi,male,a7139,HA_T3,Treatment,0.343,3.12,0.035235865,,14/06/2019,4,140,
Pur.Gre,female,a7160,HA_T3,Treatment,0.591,3.538,0.047214112,,14/06/2019,4,140,
Yel.Whi,female,a7210,HA_T3,Treatment,0.578,3.405,0.049853265,,14/06/2019,4,140,
Whi.Bro,male,a7266,HA_T3,Treatment,0.33,3.27,0.0308616,,14/06/2019,4,140,
Gre.Bro,female,a7296,HA_T3,Treatment,0.432,3.049,0.046469596,,14/06/2019,4,140,
Yel.Bla,female,a7337,HA_T3,Treatment,0.613,3.272,0.057257698,,14/06/2019,4,140,yel small
_.Ora,male,a7414,HA_T3,Treatment,0.344,3.26,0.03236855,,14/06/2019,4,140,
_.Blu,female,a7459,HA_T3,Treatment,0.457,3.089,0.04789392,,14/06/2019,4,140,
Red.Whi,male,a7469,HA_T3,Treatment,0.388,3.318,0.035243494,,14/06/2019,4,140,
Ora.Yel,female,a7484,HA_T3,Treatment,0.467,3.321,0.042342757,,14/06/2019,4,140,
Ora.Pin,female,a7556,HA_T3,Treatment,0.551,3.299,0.050627557,,14/06/2019,4,140,
Red.Pin,male,a7566,HA_T3,Treatment,0.303,3.173,0.030095564,,14/06/2019,4,140,
Bla.Red,male,a7610,HA_T3,Treatment,0.246,2.794,0.03151246,,14/06/2019,4,140,
Whi.Whi,female,a7640,HA_T3,Treatment,0.55,3.161,0.05504447,,14/06/2019,4,140,
Gre.Ora,female,a7686,HA_T3,Treatment,0.634,3.424,0.05407814,,14/06/2019,4,140,
_.Bro,male,a7719,HA_T3,Treatment,0.308,2.985,0.034567028,,14/06/2019,4,140,
Red.Red,female,a8063,HA_T3,Treatment,0.566,3.35,0.050434395,,14/06/2019,4,140,
_.Whi,male,a8070,HA_T3,Treatment,0.359,3.048,0.038642438,,14/06/2019,4,140,
_.Bla,male,a6799,HA_T4,Treatment,0.35,3.431,0.02973217,,14/06/2019,4,140,
Gre.Gre,male,a6869,HA_T4,Treatment,0.345,3.086,0.036226573,,14/06/2019,4,140,
Blu.Bla,male,a6891,HA_T4,Treatment,0.355,3.182,0.035061299,,14/06/2019,4,140,
Ora.Blu,female,a6961,HA_T4,Treatment,0.374,3.133,0.038102267,,14/06/2019,4,140,
Gre.Bro,male,a7018,HA_T4,Treatment,0.382,3.293,0.035227344,,14/06/2019,4,140,looks male
Ora.Gre,female,a7061,HA_T4,Treatment,0.512,3.48,0.042277712,,14/06/2019,4,140,
Bla.Pin,male,a7138,HA_T4,Treatment,0.398,3.33,0.035891748,,14/06/2019,4,140,
Whi.Pur,male,a7180,HA_T4,Treatment,0.32,3.221,0.030843846,,14/06/2019,4,140,
Yel.Blu,female,a7214,HA_T4,Treatment,0.448,3.195,0.04388704,,14/06/2019,4,140,
Whi.Bla,female,a7260,HA_T4,Treatment,0.387,3.358,0.034320182,,14/06/2019,4,140,
Gre.Pur,male,a7297,HA_T4,Treatment,0.357,3.165,0.035638612,,14/06/2019,4,140,
Red.Yel,male,a7321,HA_T4,Treatment,0.329,2.881,0.039637785,,14/06/2019,4,140,
Bro.Whi,female,a7358,HA_T4,Treatment,0.439,2.993,0.049006207,,14/06/2019,4,140,
Ora.Whi,female,a7409,HA_T4,Treatment,0.597,3.447,0.050244874,,14/06/2019,4,140,
Bro.Ora,female,a7439,HA_T4,Treatment,0.325,2.952,0.037295004,,14/06/2019,4,140,
Ora.Bla,male,a7494,HA_T4,Treatment,0.32,2.941,0.036996439,,14/06/2019,4,140,
Pin._,male,a7548,HA_T4,Treatment,0.292,2.979,0.032903481,,14/06/2019,4,140,
Red.Gre,female,a7562,HA_T4,Treatment,0.374,3.184,0.03689143,,14/06/2019,4,140,
Bla.Gre,female,a7608,HA_T4,Treatment,0.464,3.376,0.040711125,,14/06/2019,4,140,
Whi.Ora,male,a7646,HA_T4,Treatment,0.397,3.197,0.038842326,,14/06/2019,4,140,male
Gre.Yel,male,a7682,HA_T4,Treatment,0.312,2.85,0.038411819,,14/06/2019,4,140,
Bro.Yel,male,a7728,HA_T4,Treatment,0.364,3.19,0.035770089,,14/06/2019,4,140,
_.Red,male,a8057,HA_T4,Treatment,0.344,3.298,0.031626937,,14/06/2019,4,140,
Red.Pur,female,a8062,HA_T4,Treatment,0.516,3.392,0.044847477,,14/06/2019,4,140,
_.Gre,male,a6864,HA_T5,Treatment,0.375,3.157,0.037625485,,14/06/2019,4,140,
Blu.Pin,male,a6882,HA_T5,Treatment,0.388,3.198,0.037938033,,14/06/2019,4,140,
Pur.Bro,female,a6937,HA_T5,Treatment,0.477,3.226,0.0458342,,14/06/2019,4,140,
Gre.Ora,female,a7010,HA_T5,Treatment,0.512,3.285,0.047445957,,14/06/2019,4,140,
Bro._,female,a7050,HA_T5,Treatment,0.537,3.43,0.045644247,,14/06/2019,4,140,
Red.Blu,male,a7092,HA_T5,Treatment,0.377,3.242,0.035868675,,14/06/2019,4,140,
Whi.Bla,male,a7187,HA_T5,Treatment,0.275,2.826,0.034434072,,14/06/2019,4,140,
Pin.Bro,male,a7191,HA_T5,Treatment,0.362,3.085,0.038036297,,14/06/2019,4,140,
_.Red,female,a7219,HA_T5,Treatment,0.446,3.31,0.040707916,,14/06/2019,4,140,
Bla.Pin,female,a7253,HA_T5,Treatment,0.417,3.325,0.037718356,,14/06/2019,4,140,
Pin.Yel,male,a7282,HA_T5,Treatment,0.477,3.215,0.046148376,,14/06/2019,4,140,
Red.Pur,male,a7325,HA_T5,Treatment,0.303,3.135,0.030829575,,14/06/2019,4,140,
Ora.Ora,female,a7379,HA_T5,Treatment,0.42,2.957,0.048033766,,14/06/2019,4,140,
Ora.Pur,female,a7405,HA_T5,Treatment,0.494,3.36,0.043757086,,14/06/2019,4,140,
_._,female,a7441,HA_T5,Treatment,0.478,3.327,0.043183943,,14/06/2019,4,140,
_.Ora,male,a7487,HA_T5,Treatment,0.325,3.129,0.033194966,,14/06/2019,4,140,
Pin.Bla,female,a7551,HA_T5,Treatment,0.434,3.198,0.042435841,,14/06/2019,4,140,female
Red.Ora,female,a7567,HA_T5,Treatment,0.382,3.204,0.0372116,,14/06/2019,4,140,
Bla.Bro,female,a7605,HA_T5,Treatment,0.52,3.231,0.049811478,,14/06/2019,4,140,
Red.Bla,female,a7663,HA_T5,Treatment,0.425,3.407,0.036613788,,14/06/2019,4,140,
Gre.Bro,male,a7683,HA_T5,Treatment,0.39,3.266,0.036562194,,14/06/2019,4,140,
Bro.Ora,female,a7727,HA_T5,Treatment,0.475,3.194,0.046561159,,14/06/2019,4,140,
Pin.Pur,male,a8044,HA_T5,Treatment,0.361,3.215,0.03492571,,14/06/2019,4,140,male
Pur.Gre,male,a8074,HA_T5,Treatment,0.407,3.122,0.041756935,,14/06/2019,4,140,
Gre.Bro,female,a6834,HA_C1,Control,0.331,2.938,0.038346383,,27/06/2019,6,154,
Gre.Yel,male,a6859,HA_C1,Control,0.37,3.168,0.036866455,,27/06/2019,6,154,
Red.Red,female,a6899,HA_C1,Control,0.442,3.431,0.037547483,,27/06/2019,6,154,
Bla.Red,female,a6923,HA_C1,Control,0.494,3.553,0.039132404,,27/06/2019,6,154,
Red.Pin,male,a6985,HA_C1,Control,0.282,2.944,0.0325367,,27/06/2019,6,154,
Blu.Yel,female,a7002,HA_C1,Control,0.301,2.672,0.042159319,,27/06/2019,6,154,
Whi._,male,a7070,HA_C1,Control,0.376,3.245,0.035707418,,27/06/2019,6,154,
Bro.Bla,female,a7082,HA_C1,Control,0.445,3.358,0.039463775,,27/06/2019,6,154,
Ora.Bro,male,a7152,HA_C1,Control,0.317,3.12,0.032564924,,27/06/2019,6,154,
Whi.Blu,male,a7179,HA_C1,Control,0.326,3.123,0.033425171,,27/06/2019,6,154,
Red.Whi,female,a7226,HA_C1,Control,0.572,3.641,0.043147404,,27/06/2019,6,154,
Pur.Yel,male,a7272,HA_C1,Control,0.243,2.919,0.028519249,,27/06/2019,6,154,
Pin.Whi,female,a7281,HA_C1,Control,0.54,3.316,0.04910941,,27/06/2019,6,154,
Whi.Pur,female,a7376,HA_C1,Control,0.451,3.212,0.043714495,,27/06/2019,6,154,
Ora.Bla,male,a7403,HA_C1,Control,0.338,3.292,0.031188684,,27/06/2019,6,154,
Yel._,male,a7475,HA_C1,Control,0.262,2.793,0.033586088,,27/06/2019,6,154,
Ora.Pin,female,a7498,HA_C1,Control,0.412,3.237,0.039319847,,27/06/2019,6,154,
Pin.Ora,male,a7555,HA_C1,Control,0.389,3.184,0.038371032,,27/06/2019,6,154,
Red.Yel,male,a7563,HA_C1,Control,0.322,3.16,0.032246435,,27/06/2019,6,154,
Red.Ora,male,a7614,HA_C1,Control,0.318,3.161,0.031825712,,27/06/2019,6,154,
Blu.Blu,female,a7659,HA_C1,Control,0.381,3.156,0.038251722,,27/06/2019,6,154,
Gre.Gre,female,a7698,HA_C1,Control,0.483,3.097,0.050357565,,27/06/2019,6,154,
Bro.Bro,male,a7720,HA_C1,Control,0.297,2.804,0.037774648,,27/06/2019,6,154,
Yel.Red,female,a8068,HA_C1,Control,0.362,2.988,0.040545941,,27/06/2019,6,154,
Bla._,female,a6798,HA_C2,Control,0.488,3.301,0.044784608,,27/06/2019,6,154,
Pin.Yel,male,a6847,HA_C2,Control,0.348,3.086,0.036541587,,27/06/2019,6,154,
Blu.Yel,female,a6881,HA_C2,Control,0.64,3.371,0.056319977,,27/06/2019,6,154,
Ora.Bro,male,a6967,HA_C2,Control,0.36,3.188,0.035421412,,27/06/2019,6,154,
Blu.Blu,male,a7006,HA_C2,Control,0.344,3.181,0.033996257,,27/06/2019,6,154,
Pur._,male,a7056,HA_C2,Control,0.318,3.081,0.033499916,,27/06/2019,6,154,
Red.Pin,male,a7096,HA_C2,Control,0.379,3.172,0.037668025,,27/06/2019,6,154,
Ora.Yel,male,a7153,HA_C2,Control,0.334,3.064,0.035576969,,27/06/2019,6,154,
Pur.Blu,male,a7163,HA_C2,Control,0.366,3.224,0.035212026,,27/06/2019,6,154,
Blu.Ora,female,a7204,HA_C2,Control,0.664,3.614,0.050838389,,27/06/2019,6,154,
_.Whi,male,a7250,HA_C2,Control,0.374,3.137,0.03800516,,27/06/2019,6,154,
Pin.Bro,female,a7284,HA_C2,Control,0.558,3.548,0.044326861,,27/06/2019,6,154,
Yel.Bla,male,a7336,HA_C2,Control,0.374,3.215,0.036183423,,27/06/2019,6,154,
Whi.Yel,male,a7370,HA_C2,Control,0.372,3.16,0.037253645,,27/06/2019,6,154,
Ora.Pin,male,a7408,HA_C2,Control,0.355,3.229,0.034048051,,27/06/2019,6,154,
Red.Bro,male,a7474,HA_C2,Control,0.312,3.098,0.032508113,,27/06/2019,6,154,
Ora.Ora,female,a7486,HA_C2,Control,0.45,3.257,0.042420619,,27/06/2019,6,154,
_.Pin,female,a7549,HA_C2,Control,0.406,3.108,0.042030447,,27/06/2019,6,154,
Bro.Bro,male,a7573,HA_C2,Control,0.432,3.399,0.037392234,,27/06/2019,6,154,
_.Bla,male,a7600,HA_C2,Control,0.404,3.321,0.036630565,,27/06/2019,6,154,
_._,female,a7658,HA_C2,Control,0.481,3.36,0.042605584,,27/06/2019,6,154,
Gre.Gre,male,a7688,HA_C2,Control,0.35,3.11,0.036186557,,27/06/2019,6,154,
Bro.Pur,male,a7729,HA_C2,Control,0.31,3.073,0.032827407,,27/06/2019,6,154,
Red._,female,a8064,HA_C2,Control,0.439,3.442,0.037054656,,27/06/2019,6,154,
Blu.Pur,female,a6813,HA_C3,Control,0.498,3.183,0.049153683,,27/06/2019,6,154,
Pin.Gre,female,a6845,HA_C3,Control,0.428,3.271,0.04000209,,27/06/2019,6,154,
Blu.Gre,female,a6885,HA_C3,Control,0.479,3.078,0.050558978,,27/06/2019,6,154,
Bla.Bla,female,a6929,HA_C3,Control,0.492,3.135,0.050059904,,27/06/2019,6,154,
Red.Gre,male,a6990,HA_C3,Control,0.37,3.143,0.037455273,,27/06/2019,6,154,
Gre._,male,a7017,HA_C3,Control,0.359,3.143,0.036341737,,27/06/2019,6,154,
Red.Yel,male,a7048,HA_C3,Control,0.312,3.16,0.031244993,,27/06/2019,6,154,
Red.Pur,female,a7093,HA_C3,Control,0.498,3.435,0.042206162,,27/06/2019,6,154,
Bla.Red,male,a7144,HA_C3,Control,0.347,3.216,0.033550376,,27/06/2019,6,154,
_.Pur,male,a7168,HA_C3,Control,0.221,2.816,0.027869359,,27/06/2019,6,154,
Whi.Pin,female,a7232,HA_C3,Control,0.58,3.465,0.048308273,,27/06/2019,6,154,
Whi.Ora,male,a7264,HA_C3,Control,0.333,3.061,0.035540012,,27/06/2019,6,154,
_.Pin,female,a7279,HA_C3,Control,0.67,3.371,0.058959976,,27/06/2019,6,154,
Red.Whi,female,a7322,HA_C3,Control,0.602,3.312,0.054880219,,27/06/2019,6,154,
Bro.Ora,male,a7361,HA_C3,Control,0.356,3.073,0.03769857,,27/06/2019,6,154,
Ora.Bro,male,a7407,HA_C3,Control,0.443,3.441,0.037414021,,27/06/2019,6,154,
Red.Blu,male,a7466,HA_C3,Control,0.273,2.73,0.036630037,,27/06/2019,6,154,
Red.Red,female,a7497,HA_C3,Control,0.387,3.139,0.039276098,,27/06/2019,6,154,
Pin.Blu,female,a7552,HA_C3,Control,0.527,3.022,0.057706096,,27/06/2019,6,154,
Red.Bro,male,a7564,HA_C3,Control,0.286,2.947,0.032931064,,27/06/2019,6,154,
Red._,male,a7611,HA_C3,Control,0.366,3.012,0.040343275,,27/06/2019,6,154,
Bla.Blu,female,a7660,HA_C3,Control,0.494,3.39,0.042986051,,27/06/2019,6,154,
Gre.Pin,female,a7679,HA_C3,Control,0.468,3.234,0.044747196,,27/06/2019,6,154,
Pur._,male,a7730,HA_C3,Control,0.347,3.058,0.037106886,,27/06/2019,6,154,
_.Yel,male,a6807,HA_C4,Control,0.323,3.131,0.032948556,,27/06/2019,6,154,
_.Pin,male,a6839,HA_C4,Control,0.309,3.109,0.031968115,,27/06/2019,6,154,
Blu.Whi,male,a6884,HA_C4,Control,0.374,3.289,0.03457354,,27/06/2019,6,154,
Pur._,female,a6930,HA_C4,Control,0.524,3.334,0.047141142,,27/06/2019,6,154,
Gre.Yel,female,a6971,HA_C4,Control,0.38,2.995,0.042363316,,27/06/2019,6,154,
_.Gre,female,a7020,HA_C4,Control,0.374,2.949,0.043005307,,27/06/2019,6,154,
_.Ora,female,a7059,HA_C4,Control,0.413,3.179,0.040866646,,27/06/2019,6,154,
Red.Gre,female,a7090,HA_C4,Control,0.5,3.405,0.043125662,,27/06/2019,6,154,
Whi.Ora,male,a7184,HA_C4,Control,0.302,2.875,0.036536862,,27/06/2019,6,154,
Blu.Bla,female,a7201,HA_C4,Control,0.493,3.263,0.046303388,,27/06/2019,6,154,
Whi.Pur,female,a7259,HA_C4,Control,0.286,2.836,0.035559331,,27/06/2019,6,154,
Pin.Red,male,a7286,HA_C4,Control,0.347,3.185,0.034206655,,27/06/2019,6,154,
Bro._,female,a7367,HA_C4,Control,0.479,3.23,0.04591245,,27/06/2019,6,154,
Yel.Yel,female,a7418,HA_C4,Control,0.433,3.231,0.041477635,,27/06/2019,6,154,
Bro.Whi,female,a7438,HA_C4,Control,0.509,3.264,0.047776847,,27/06/2019,6,154,
Ora.Gre,male,a7492,HA_C4,Control,0.272,2.912,0.03207644,,27/06/2019,6,154,
_.Pur,male,a7539,HA_C4,Control,0.328,2.994,0.036590661,,27/06/2019,6,154,
Pur.Red,female,a7578,HA_C4,Control,0.411,3.181,0.040617621,,27/06/2019,6,154,
Bla.Bla,female,a7601,HA_C4,Control,0.506,3.235,0.048350609,,27/06/2019,6,154,
Whi.Whi,male,a7661,HA_C4,Control,0.337,3.051,0.036203077,,27/06/2019,6,154,
Pin.Blu,male,a7696,HA_C4,Control,0.317,3.049,0.034099218,,27/06/2019,6,154,
Pur.Blu,male,a7737,HA_C4,Control,0.28,3.051,0.030079708,,27/06/2019,6,154,
Pin.Bla,female,a8045,HA_C4,Control,0.348,3.069,0.036947535,,27/06/2019,6,154,
Yel.Pin,male,a8066,HA_C4,Control,0.299,3.03,0.032567613,,27/06/2019,6,154,
