Mark,Sex,Fish_ID,Tank,Treatment_Tank,Weight(g),Fish_Length_cm,BMI,K Index,Date,Week,Age_Days,Notes
Pur.Pur,female,a7540,HA_C5,Control,0.144,2.228,0.029008957,,16/05/2019,0,112,
Red.Whi,female,a7559,HA_C5,Control,0.183,2.235,0.036634986,,16/05/2019,0,112,
Bla.Blu,female,a7607,HA_C5,Control,0.266,2.651,0.037849677,,16/05/2019,0,112,
Whi.Gre,female,a7647,HA_C5,Control,0.201,2.647,0.028687201,,16/05/2019,0,112,
Gre.Bla,male,a7687,HA_C5,Control,0.212,2.581,0.031824373,,16/05/2019,0,112,
_.Pur,male,a7731,HA_C5,Control,0.19,2.484,0.030792888,,16/05/2019,0,112,
_.Pin,male,a8043,HA_C5,Control,0.185,2.398,0.032171653,,16/05/2019,0,112,
Red.Ora,female,a8061,HA_C5,Control,0.223,2.731,0.02989933,,16/05/2019,0,112,
_.Pur,female,a6825,HA_T1,Treatment,0.284,2.958,0.032458018,,17/05/2019,0,112,
Pin.Whi,female,a6846,HA_T1,Treatment,0.305,2.88,0.036771798,,17/05/2019,0,112,
Red.Pin,female,a6894,HA_T1,Treatment,0.281,2.691,0.038804217,,17/05/2019,0,112,
Bla.Pur,female,a6925,HA_T1,Treatment,0.25,2.593,0.037182191,,17/05/2019,0,112,
Red.Whi,male,a6991,HA_T1,Treatment,0.222,2.696,0.030543106,,17/05/2019,0,112,
Blu.Whi,male,a6998,HA_T1,Treatment,0.176,2.478,0.028662236,,17/05/2019,0,112,
Ora.Pur,male,a7062,HA_T1,Treatment,0.285,2.745,0.037823365,,17/05/2019,0,112,
Bro.Yel,female,a7087,HA_T1,Treatment,0.265,2.916,0.031165266,,17/05/2019,0,112,
Ora._,male,a7155,HA_T1,Treatment,0.179,2.53,0.027964817,,17/05/2019,0,112,
Bla.Blu,male,a7173,HA_T1,Treatment,0.25,2.654,0.035492629,,17/05/2019,0,112,"small blu dot, swimming awkwardly ?"
Blu.Yel,female,a7206,HA_T1,Treatment,0.261,2.73,0.035019925,,17/05/2019,0,112,
_.Whi,male,a7269,HA_T1,Treatment,0.157,2.299,0.029704463,,17/05/2019,0,112,
Gre.Gre,female,a7292,HA_T1,Treatment,0.248,2.432,0.041929969,,17/05/2019,0,112,
_.Red,female,a7319,HA_T1,Treatment,0.258,2.366,0.046088251,,17/05/2019,0,112,
Whi.Bla,female,a7374,HA_T1,Treatment,0.279,2.694,0.03844227,,17/05/2019,0,112,"definitely female, needs switching"
Ora.Ora,male,a7412,HA_T1,Treatment,0.233,2.82,0.029299331,,17/05/2019,0,112,
Red.Red,male,a7468,HA_T1,Treatment,0.207,2.549,0.031858893,,17/05/2019,0,112,
Ora.Pin,female,a7488,HA_T1,Treatment,0.319,2.925,0.037285412,,17/05/2019,0,112,
Pin.Pin,female,a7550,HA_T1,Treatment,0.318,2.739,0.042388013,,17/05/2019,0,112,
Red.Pur,male,a7560,HA_T1,Treatment,0.202,2.488,0.03263252,,17/05/2019,0,112,
Bla._,male,a7599,HA_T1,Treatment,0.209,2.597,0.030988631,,17/05/2019,0,112,
Bro.Bro,female,a7662,HA_T1,Treatment,0.333,2.833,0.041490731,,17/05/2019,0,112,
Pin.Bro,female,a7697,HA_T1,Treatment,0.266,2.662,0.037537516,,17/05/2019,0,112,
Bro.Whi,male,a7723,HA_T1,Treatment,0.188,2.401,0.032611707,,17/05/2019,0,112,
Yel.Blu,female,a6822,HA_T2,Treatment,0.217,2.373,0.038535789,,17/05/2019,0,112,
Pin.Pin,female,a6840,HA_T2,Treatment,0.363,3.012,0.040012592,,17/05/2019,0,112,
Blu.Ora,female,a6883,HA_T2,Treatment,0.325,2.798,0.041513365,,17/05/2019,0,112,
Pur.Pur,female,a6932,HA_T2,Treatment,0.324,2.743,0.043061921,,17/05/2019,0,112,
Red.Yel,male,a6987,HA_T2,Treatment,0.245,2.688,0.03390842,,17/05/2019,0,112,
Gre.Bla,male,a7015,HA_T2,Treatment,0.223,2.559,0.034053699,,17/05/2019,0,112,
Pin._,male,a7054,HA_T2,Treatment,0.221,2.681,0.03074671,,17/05/2019,0,112,
Red.Ora,female,a7089,HA_T2,Treatment,0.291,2.729,0.039073824,,17/05/2019,0,112,
Bla.Bro,male,a7142,HA_T2,Treatment,0.21,2.697,0.028870706,,17/05/2019,0,112,
Pur._,male,a7167,HA_T2,Treatment,0.182,2.415,0.031205929,,17/05/2019,0,112,
Red.Pur,female,a7222,HA_T2,Treatment,0.362,2.861,0.044225511,,17/05/2019,0,112,
Bro.Blu,male,a7251,HA_T2,Treatment,0.188,2.547,0.028980105,,17/05/2019,0,112,
Pin.Blu,female,a7288,HA_T2,Treatment,0.342,2.824,0.042884142,,17/05/2019,0,112,
Whi.Pin,male,a7375,HA_T2,Treatment,0.233,2.575,0.035139975,,17/05/2019,0,112,
Ora.Yel,male,a7411,HA_T2,Treatment,0.311,2.976,0.035115151,,17/05/2019,0,112,
Blu.Bla,male,a7461,HA_T2,Treatment,0.195,2.441,0.032726462,,17/05/2019,0,112,
Red._,female,a7495,HA_T2,Treatment,0.253,2.703,0.034628081,,17/05/2019,0,112,
Red.Red,male,a7570,HA_T2,Treatment,0.26,2.821,0.032671357,,17/05/2019,0,112,
Bla.Pin,female,a7604,HA_T2,Treatment,0.169,2.407,0.029169872,,17/05/2019,0,112,
Whi.Bro,female,a7649,HA_T2,Treatment,0.268,2.798,0.03423256,,17/05/2019,0,112,
Gre.Blu,female,a7684,HA_T2,Treatment,0.241,2.446,0.040281361,,17/05/2019,0,112,
Bro.Gre,male,a7724,HA_T2,Treatment,0.218,2.557,0.03334226,,17/05/2019,0,112,
Yel.Gre,female,a8067,HA_T2,Treatment,0.225,2.639,0.032307529,,17/05/2019,0,112,
Ora.Pur,female,a8071,HA_T2,Treatment,0.226,2.573,0.034137276,,17/05/2019,0,112,
Bla.Blu,male,a6808,HA_T3,Treatment,0.238,2.751,0.031448199,,17/05/2019,0,112,looks male
Pin.Pur,male,a6842,HA_T3,Treatment,0.253,2.806,0.03213255,,17/05/2019,0,112,looks male
Blu.Pur,female,a6886,HA_T3,Treatment,0.241,2.496,0.038683689,,17/05/2019,0,112,
