Mark,Sex,Fish_ID,Tank,Group,Weight(g),Fish_Length_cm,BMI,K Index,Date,Week,Age_Days,Notes
_.Blu,female,a7459,HA_T3,Treatment,0.72,3.503,0.058674882,1.674989483,,20,,
Gre.Bro,female,a7296,HA_T3,Treatment,0.766,3.65,0.057496716,1.575252495,,20,,
Whi.Whi,female,a7640,HA_T3,Treatment,0.98,3.955,0.062651735,1.584114657,,20,,
Red.Bla,female,a7091,HA_T3,Treatment,0.776,3.744,0.05535923,1.478611913,,20,,
Ora.Yel,female,a7484,HA_T3,Treatment,0.676,3.659,0.050491919,1.379937661,,20,,
Pur.Gre,female,a7160,HA_T3,Treatment,0.814,3.884,0.053959257,1.389270267,,20,,
Bla.Pin,female,a7253,HA_T3,Treatment,0.668,3.663,0.049785472,1.359144733,,20,,
Bla.Gre,female,a7608,HA_T4,Treatment,0.836,4.062,0.050667146,1.247344798,,20,,
Bro.Whi,female,a7358,HA_T4,Treatment,0.796,3.506,0.064757376,1.847044388,,20,,
Ora.Blu,female,a6961,HA_T4,Treatment,0.702,3.627,0.053363217,1.471276998,,20,,
Red.Pur,female,a8062,HA_T4,Treatment,0.843,3.852,0.056813954,1.474920932,,20,,
Red.Gre,female,a7562,HA_T4,Treatment,0.659,3.638,0.049792052,1.368665532,,20,,
Yel.Blu,female,a7214,HA_T4,Treatment,0.744,3.621,0.056743469,1.567066264,,20,,
Ora.Whi,female,a7409,HA_T4,Treatment,0.925,3.831,0.063025664,1.645149148,,20,,
Bro.Ora,female,a7439,HA_T4,Treatment,0.717,3.569,0.056289327,1.577173647,,20,,
Ora.Gre,female,a7061,HA_T4,Treatment,0.94,4.045,0.057450102,1.420274454,,20,,
Yel._,male,a7475,HA_C1,Control,0.435,3.295,0.040066224,1.215970392,,20,,
Red.Pin,male,a6985,HA_C1,Control,0.458,3.323,0.041476757,1.248172052,,20,,
Ora.Bro,male,a7152,HA_C1,Control,0.502,3.68,0.037068762,1.00730331,,20,,
Red.Yel,male,a7563,HA_C1,Control,0.5,3.583,0.038947213,1.087000089,,20,,
Gre.Yel,male,a6859,HA_C1,Control,0.528,3.519,0.042637859,1.21164703,,20,,
Whi._,male,a7070,HA_C1,Control,0.555,3.532,0.044488892,1.259594914,,20,,
Red.Ora,male,a7614,HA_C1,Control,0.433,3.35,0.038583203,1.151737415,,20,,
Pur.Yel,male,a7272,HA_C1,Control,0.408,3.192,0.040043718,1.254502454,,20,,
Bro.Bro,male,a7720,HA_C1,Control,0.42,3.18,0.041533167,1.30607444,,20,,
Pin.Ora,male,a7555,HA_C1,Control,0.505,3.56,0.03984661,1.119286806,,20,,
Ora.Bla,male,a7403,HA_C1,Control,0.438,3.544,0.034872789,0.983995179,,20,,
Whi.Blu,male,a7179,HA_C1,Control,0.486,3.385,0.042414946,1.253026484,,20,,
Gre.Gre,male,a7688,HA_C2,Control,0.451,3.212,0.043714495,1.360974324,,20,,
Bro.Pur,male,a7729,HA_C2,Control,0.486,3.454,0.04073724,1.179422122,,20,,
Ora.Yel,male,a7153,HA_C2,Control,0.431,3.478,0.035630188,1.024444741,,20,,
Red.Bro,male,a7474,HA_C2,Control,0.416,3.381,0.036391754,1.076360665,,20,,
Pur._,male,a7056,HA_C2,Control,0.414,3.467,0.034442341,0.993433535,,20,,
Bro.Bro,male,a7573,HA_C2,Control,0.582,3.853,0.039203511,1.017480179,,20,,
Ora.Pin,male,a7408,HA_C2,Control,0.424,3.45,0.035622768,1.032544009,,20,,
Ora.Bro,male,a6967,HA_C2,Control,0.459,3.474,0.038032341,1.094770896,,20,,
Yel.Bla,male,a7336,HA_C2,Control,0.472,3.555,0.037347608,1.050565618,,20,,
Blu.Blu,male,a7006,HA_C2,Control,0.451,3.245,0.042829908,1.319873892,,20,,
Pur.Blu,male,a7163,HA_C2,Control,0.448,3.63,0.033998892,0.936608595,,20,,
Pin.Yel,male,a6847,HA_C2,Control,0.482,3.431,0.040945446,1.193396841,,20,,
Whi.Yel,male,a7370,HA_C2,Control,0.432,3.386,0.037679908,1.112814781,,20,,
Red.Pin,male,a7096,HA_C2,Control,0.416,3.535,0.033290054,0.941727117,,20,,
_.Whi,male,a7250,HA_C2,Control,0.484,3.253,0.045738007,1.406025418,,20,,
_.Bla,male,a7600,HA_C2,Control,0.519,3.72,0.037504336,1.008181069,,20,,
Whi.Ora,male,a7264,HA_C3,Control,0.469,3.414,0.040238873,1.17864303,,20,,
Gre._,male,a7017,HA_C3,Control,0.473,3.482,0.039012484,1.12040449,,20,,
Ora.Bro,male,a7407,HA_C3,Control,0.547,3.775,0.038384281,1.016802156,,20,,
Pur._,male,a7730,HA_C3,Control,0.448,3.473,0.03714227,1.069457829,,20,,
Red.Gre,male,a6990,HA_C3,Control,0.509,3.5,0.04155102,1.187172012,,20,,
Bla.Red,male,a7144,HA_C3,Control,0.447,3.504,0.036406533,1.038999242,,20,,
Bla.Pin,male,a8043,HA_C3,Control,0.496,3.571,0.038895734,1.089211269,,20,,
Red.Bro,male,a7564,HA_C3,Control,0.351,3.06,0.037485582,1.225019035,,20,,
Red._,male,a7611,HA_C3,Control,0.481,3.294,0.044330016,1.345780688,,20,,
Bro.Ora,male,a7361,HA_C3,Control,0.448,3.387,0.03905239,1.153008275,,20,,
Red.Blu,male,a7466,HA_C3,Control,0.382,3.007,0.042247061,1.404957149,,20,,
Ora.Gre,male,a7492,HA_C4,Control,0.396,3.163,0.039581915,1.251404206,,20,,
_.Yel,male,a6807,HA_C4,Control,0.426,3.595,0.032961868,0.916880877,,20,,
Pin.Red,male,a7286,HA_C4,Control,0.458,3.47,0.038037024,1.096167833,,20,,
Blu.Whi,male,a6884,HA_C4,Control,0.494,3.589,0.038351295,1.06857885,,20,,
Pin.Blu,male,a7696,HA_C4,Control,0.414,3.153,0.041643996,1.32077375,,20,,
Pin.Blu,male,a6843,HA_C4,Control,0.495,3.517,0.040018468,1.13785807,,20,,
Whi.Ora,male,a7184,HA_C4,Control,0.374,3.167,0.037288548,1.177409165,,20,,
_.Pur,male,a7539,HA_C4,Control,0.544,3.34,0.048764746,1.460022334,,20,,
Yel.Pin,male,a8066,HA_C4,Control,0.415,3.323,0.037582651,1.130985593,,20,,
Pur.Blu,male,a7737,HA_C4,Control,0.374,3.05,0.040204246,1.318172006,,20,,
Gre.Bro,male,a7683,HA_T1,Treatment,0.67,3.931,0.043357947,1.102975006,,20,,
Red.Whi,male,a6991,HA_T1,Treatment,0.562,3.735,0.040286089,1.078610136,,20,,
Red.Red,male,a7468,HA_T1,Treatment,0.501,3.433,0.042509903,1.23827275,,20,,
Ora._,male,a7155,HA_T1,Treatment,0.503,3.654,0.03767306,1.031008762,,20,,
_.Whi,male,a7269,HA_T1,Treatment,0.45,3.327,0.04065434,1.2219519,,20,,
