Stim,Day,Date,Video,Arena,Sex,Mark,Session,Camera,Tank,Group,Fish_ID,Notes,tot_dist,mean_speed,mean_dist_05,tot_dist_05,freeze_mean,freeze_dur,zone_510_dur,zone_05_dur,zone_2025_dur,zone_1520_dur,zone_3035_dur,zone_1015_dur,zone_3540_dur,zone_2530_dur,zone_near_dur,zone_middle_dur,zone_far_dur,arena_dur,moving_dur
Novel,Thursday,NA,Q,1,female,Ora.Blu,10,1,HA_T4,Treatment,a6961,NA,963.977,5.35556,27.9555,62899.9,0.39999,0.79998,5.03987,0.639984,12.2397,10.8797,67.5183,8.71978,60.2385,14.7196,9.91975,32.0792,137.997,179.995,164.316
Novel,Thursday,NA,X,8,female,Ora.Gre,10,2,HA_T4,Treatment,a7061,NA,1060.34,5.89095,26.3049,59186.1,6.51984,52.1587,12.7997,5.75986,10.7197,9.67976,28.4793,12.4797,81.758,18.3195,26.9593,28.6393,124.397,179.995,107.517
Novel,Friday,NA,Q,1,male,Pin.Ora,1,1,HA_C1,Control,a7555,NA,1884.56,10.5027,19.7255,44283.6,-,0,25.5994,21.9195,19.7595,16.4796,40.479,18.7195,9.51976,27.5193,60.4785,50.1587,69.3583,179.995,171.436
Novel,Friday,NA,X,8,male,Red.Yel,1,2,HA_C1,Control,a7563,NA,2018.86,11.2162,19.041,42842.3,-,0,27.3593,17.0396,20.3195,17.7596,37.1991,20.0795,18.5595,21.6795,57.5186,51.5987,70.8782,179.995,179.196
Novel,Friday,NA,Q,1,female,Blu.Blu,2,1,HA_C1,Control,a7659,NA,1486.1,8.25634,26.6301,59917.8,-,0,2.07995,0,20.3195,15.4396,63.3584,12.1597,37.2791,29.3593,7.75981,49.7588,122.477,179.995,177.916
Novel,Friday,NA,X,8,female,Whi.Pur,2,2,HA_C1,Control,a7376,NA,1862.2,10.3458,18.8042,42309.6,-,0,26.7993,4.47989,25.3594,21.8395,37.6791,27.9993,8.39979,27.4393,49.8388,64.7984,65.3584,179.995,178.796
Novel,Friday,NA,Q,1,male,Yel._,3,1,HA_C1,Control,a7475,NA,1155.03,6.41699,20.8238,46853.6,4.29704,30.0792,16.6396,17.3596,17.5996,12.6397,47.6788,13.9996,1.43996,52.6387,43.1989,47.2788,89.5178,179.995,113.277
Novel,Friday,NA,X,8,male,Gre.Bro,3,2,HA_T1,Treatment,a7683,NA,988.186,5.49006,26.1614,58863.2,3.07192,30.7192,7.9998,0,12.4797,7.67981,104.717,9.11977,10.3997,27.5993,13.4397,29.1193,137.437,179.995,109.197
Novel,Friday,NA,Q,1,female,Bro.Yel,4,1,HA_T1,Treatment,a7087,NA,1315.5,7.30851,22.1734,49890.2,0.986642,2.95993,21.5195,19.1995,15.0396,12.0797,46.3988,13.5997,33.4392,18.7195,49.6788,37.4391,92.8777,179.995,165.836
Novel,Friday,NA,X,8,male,Ora._,4,2,HA_T1,Treatment,a7155,NA,1479.89,8.22184,15.9613,35913,-,0,31.7592,20.0795,25.6794,25.6794,21.5195,28.2393,2.07995,24.9594,69.8383,70.3182,39.839,179.995,178.236
Novel,Friday,NA,Q,1,male,_.Whi,5,1,HA_T1,Treatment,a7269,NA,1889.5,10.5396,24.9814,56033.3,-,0,4.39989,2.71993,24.2394,21.4395,60.7985,9.51976,21.9195,34.7991,13.2797,59.1985,107.357,179.836,177.116
Novel,Friday,NA,X,8,female,Bro.Bro,5,2,HA_T1,Treatment,a7662,NA,2122.91,11.7942,21.8777,49224.9,-,0,14.9596,5.19987,20.3995,16.3996,44.5589,23.8394,28.8793,25.7594,36.7991,50.7987,92.3977,179.995,177.996
Novel,Friday,NA,Q,1,female,Blu.Ora,6,1,HA_C2,Control,a7204,NA,516.32,2.86852,30.0959,67715.8,4.23989,46.6388,0,0,6.79983,3.59991,127.917,0,32.4792,9.19977,0,12.6397,167.356,179.995,75.7581
Novel,Friday,NA,X,8,female,Pin.Bro,6,2,HA_C2,Control,a7284,NA,1372.85,7.62714,16.0916,36206,-,0,33.6792,44.6389,10.8797,10.6397,31.5992,17.6796,15.4396,15.4396,88.5578,32.3992,59.0385,179.995,172.236
Novel,Friday,NA,Q,1,female,_._,7,1,HA_C2,Control,a7658,NA,2096.08,11.6452,21.9644,49419.8,-,0,17.7596,4.87988,21.5995,21.1995,54.1586,18.3995,12.7197,29.2793,33.8392,59.1985,86.9578,179.995,177.596
Novel,Friday,NA,X,8,male,Gre.Gre,7,2,HA_C2,Control,a7688,NA,1443.12,8.01755,24.9392,56113.2,-,0,7.8398,5.51986,15.0396,11.8397,77.3581,10.5597,25.9993,25.8394,19.9995,36.6391,123.357,179.995,174.956
