Stim,Day,Date,Video,Arena,Sex,Mark,Session,Camera,Tank,Group,Fish_ID,Notes,tot_dist,mean_speed,mean_dist_05,tot_dist_05,freeze_mean,freeze_dur,zone_510_dur,zone_05_dur,zone_2025_dur,zone_1520_dur,zone_3035_dur,zone_1015_dur,zone_3540_dur,zone_2530_dur,zone_near_dur,zone_middle_dur,zone_far_dur,arena_dur,moving_dur
Aggression,Tuesday,NA,M,5,male,Gre.Gre,5,2,HA_T4,Treatment,a6869,NA,154.982,0.861035,13.182,29659.6,5.71541,102.877,59.9985,0.39999,1.43996,109.117,0,8.39979,0,0.639984,67.9183,111.597,0.479988,179.995,11.6797
Aggression,Tuesday,NA,P,8,male,Red.Yel,5,2,HA_T4,Treatment,a7321,NA,556.488,3.09168,4.45318,10019.7,0.149996,1.19997,7.9198,172.076,0,0,0,0,0,0,179.995,0,0,179.995,124.957
Aggression,Tuesday,NA,M,5,male,Ora.Bro,6,2,HA_C1,Control,a7152,NA,1635.26,9.08498,17.0632,38392.2,-,0,9.35977,81.998,0.639984,1.51996,65.4384,2.55994,12.0797,6.39984,93.5177,3.59991,82.8779,179.995,172.316
Aggression,Tuesday,NA,P,8,female,Pin.Whi,6,2,HA_C1,Control,a7281,NA,701.319,3.90152,8.69584,19548.3,3.43264,37.7591,22.7994,137.517,1.83995,2.71993,3.9199,6.23984,2.87993,2.07995,164.636,6.87983,8.47979,179.995,96.3976
Aggression,Tuesday,NA,M,5,male,Ora.Bla,7,2,HA_C1,Control,a7403,NA,810.149,4.50094,4.15515,9349.08,0.199995,0.39999,6.87983,167.676,0.639984,1.11997,0,3.67991,0,0,176.716,3.27992,0,179.995,141.276
Aggression,Tuesday,NA,P,8,female,Red.Red,7,2,HA_C1,Control,a6899,NA,939.935,5.22199,6.74047,15166.1,8.00E-02,0.079998,15.2796,137.597,4.31989,5.03987,5.59986,8.31979,0.39999,3.43991,159.356,12.3997,8.23979,179.995,145.756
Aggression,Tuesday,NA,M,5,female,_.Pur,8,2,HA_T1,Treatment,a6825,NA,1221.82,6.78809,10.3718,23336.6,6.27984,12.5597,27.9993,79.118,10.6397,11.0397,8.23979,32.1592,3.67991,7.11982,118.957,44.5589,16.4796,179.995,163.356
Aggression,Tuesday,NA,P,8,female,_.Red,8,2,HA_T1,Treatment,a7319,NA,1217.31,6.763,7.11132,16000.5,-,0,24.0794,122.957,4.95988,5.51986,6.79983,8.63978,1.11997,5.75986,153.116,14.7196,11.9997,179.995,165.516
Aggression,Tuesday,NA,M,5,female,Pin.Pin,9,2,HA_T1,Treatment,a7550,NA,1420.14,7.88986,9.21767,20739.8,-,0,20.7195,113.357,6.63983,8.79978,10.4797,10.5597,0.879978,8.55979,141.436,21.3595,17.1996,179.995,173.996
Aggression,Tuesday,NA,P,8,male,Blu.Whi,9,2,HA_T1,Treatment,a6998,NA,1355.91,7.53303,10.2251,23006.4,8.00E-02,0.079998,19.5995,102.797,9.27977,8.1598,14.5596,12.0797,4.55989,8.95978,131.117,23.3594,25.5194,179.995,167.356
Aggression,Tuesday,NA,M,5,male,Pin.Bro,10,2,HA_T1,Treatment,a7191,NA,1845.21,10.2514,15.1598,34109.5,8.00E-02,0.079998,38.399,31.3592,18.2395,18.5595,27.1193,24.8794,1.11997,20.3195,86.9578,50.8787,42.1589,179.995,176.876
Aggression,Tuesday,NA,P,8,male,Red.Red,10,2,HA_T1,Treatment,a7468,NA,476.767,2.64877,7.22078,16246.8,4.99987,19.9995,55.3586,106.637,2.23994,2.15995,1.75996,10.1597,0,1.67996,170.796,6.23984,2.95993,179.995,91.3577
Aggression,Wednesday,NA,M,5,female,_._,1,2,HA_C2,Control,a7658,NA,1114.53,6.192,5.51676,12412.7,8.00E-02,0.159996,13.5197,147.116,3.03992,3.51991,3.03992,5.83985,0.719982,3.19992,164.396,9.35977,6.23984,179.995,159.516
Aggression,Wednesday,NA,P,8,male,Pin.Yel,1,2,HA_C2,Control,a6847,NA,855.618,4.75355,9.378,21100.5,12.834,89.8378,12.9597,104.557,7.75981,19.9995,4.23989,19.8395,3.11992,7.51981,125.197,41.119,13.6797,179.995,71.3582
Aggression,Wednesday,NA,M,5,male,Ora.Pin,2,2,HA_C2,Control,a7408,NA,1192.21,6.62357,5.42796,12212.9,-,0,23.0394,144.956,1.03997,1.51996,0.959976,7.59981,0,0.879978,173.276,5.11987,1.59996,179.995,168.716
Aggression,Wednesday,NA,P,8,female,Red._,2,2,HA_C2,Control,a8064,NA,588.479,3.26941,5.49214,12357.3,2.81707,39.439,43.7589,129.277,0.719982,2.15995,0.479988,2.87993,0,0.719982,174.876,4.1599,0.959976,179.995,96.8776
Aggression,Wednesday,NA,M,5,male,Bla.Bro,3,2,HA_T2,Treatment,a7142,NA,360.927,2.0052,10.0759,22670.8,20.2262,121.357,60.3985,44.0789,1.19997,1.99995,0,72.1582,0,0.159996,175.276,4.63988,0.079998,179.995,42.4789
Aggression,Wednesday,NA,P,8,male,Ora.Yel,3,2,HA_T2,Treatment,a7411,NA,779.63,4.33139,7.47736,16824.1,8.00E-02,0.079998,16.6396,138.317,2.63993,3.03992,4.31989,7.03982,6.23984,1.75996,160.796,7.43981,11.7597,179.995,142.156
Aggression,Wednesday,NA,M,5,male,Bro.Blu,4,2,HA_T2,Treatment,a7251,NA,1140.44,6.33593,8.86192,19939.3,2.89993,11.5997,39.759,80.238,8.47979,17.1196,0.559986,29.8393,0,3.9999,137.597,39.359,3.03992,179.995,158.716
Aggression,Wednesday,NA,P,8,female,Ora.Pur,4,2,HA_T2,Treatment,a8071,NA,721.307,4.00736,5.3697,12081.8,0.111997,0.559986,9.03977,161.276,0.79998,2.71993,1.11997,4.23989,0,0.79998,173.676,4.63988,1.67996,179.995,128.877
Aggression,Wednesday,NA,M,5,female,Whi._,5,2,HA_T2,Treatment,a8050,NA,1051.76,5.84327,6.87505,15468.9,1.54396,15.4396,11.6797,148.876,3.35992,3.03992,4.79988,3.51991,0.39999,4.31989,162.876,8.71978,8.39979,179.995,131.037
Aggression,Wednesday,NA,P,8,female,Yel.Gre,5,2,HA_T2,Treatment,a8067,NA,1669,9.27248,16.5828,37311.2,-,0,19.1995,73.0382,4.39989,4.1599,22.8794,6.07985,44.5589,5.51986,96.1576,12.1597,71.5182,179.995,170.556
Aggression,Wednesday,NA,M,5,female,Whi.Pin,6,2,HA_C3,Control,a7232,NA,735.86,4.08821,14.0673,31651.4,16.1063,48.3188,10.3197,98.3175,3.67991,3.03992,19.6795,3.51991,1.75996,39.679,110.957,8.95978,60.0785,179.995,113.517
Aggression,Wednesday,NA,P,8,female,Blu.Gre,6,2,HA_C3,Control,a6885,NA,1192.71,6.62635,7.27586,16370.7,3.21992,12.8797,30.3192,121.677,4.47989,5.99985,3.9199,7.19982,0,6.39984,157.356,14.0796,8.55979,179.995,132.717
Aggression,Wednesday,NA,M,5,female,Red.Pur,7,2,HA_C3,Control,a7093,NA,769.513,4.28279,5.39199,12115.8,9.33E-02,0.559986,5.27987,164.716,0.719982,0.639984,5.43986,1.67996,0.559986,0.959976,171.356,2.07995,6.55984,179.995,132.317
Aggression,Wednesday,NA,P,8,male,Bla.Red,7,2,HA_C3,Control,a7144,NA,1435.94,7.97763,7.5915,17080.9,0.199995,0.39999,31.6792,114.717,5.75986,5.59986,5.67986,9.83975,0.719982,5.99985,153.516,16.8796,9.59976,179.995,159.916
Aggression,Wednesday,NA,M,5,male,Pin.Pur,8,2,HA_T3,Treatment,a6842,NA,247.849,1.37697,7.65555,17225,10.7517,107.517,60.3985,115.997,0.319992,0.639984,0,2.63993,0,0,178.076,1.91995,0,179.995,34.7991
Aggression,Wednesday,NA,P,8,male,Bla.Blu,8,2,HA_T3,Treatment,a6808,NA,1595.15,8.86218,17.0314,38320.5,3.03992,6.07985,23.8394,27.1193,16.8796,18.7995,18.5595,22.8794,0.879978,51.0387,65.4384,51.8387,62.7184,179.995,149.516
