Time,Day,Date,Video,Arena,Sex,Mark,Session,Camera,Tank,Group,Fish_ID,Notes,Phase1,Phase2,Phase3,Phase4,tot_dist,mean_speed,mean_dist_05,tot_dist_05,freeze_dur,zone_510_dur,zone_05_dur,zone_2025_dur,zone_1520_dur,zone_3035_dur,zone_1015_dur,zone_3540_dur,zone_2530_dur,zone_near_dur,zone_middle_dur,zone_far_dur,arena_dur,moving_dur
20-23,Monday,29/07/2019,A,1,male,Pin.Bro,5,1,HA_T1,Treatment,a7191,,Social,Novel,Aggression,Predator,1608.98,8.93903,12.7007,28576.7,0,48.1588,46.6388,11.0397,13.9197,21.3595,22.3994,2.15995,14.3196,110.637,35.8391,33.5192,179.995,178.716
20-23,Monday,29/07/2019,A,1,male,Ora.Bro,6,1,HA_C2,Control,a6967,,Social,Novel,Aggression,Predator,1306.69,7.25957,8.23228,18522.6,6.23984,29.9193,109.997,5.27987,6.39984,8.71978,12.7997,2.31994,4.55989,149.036,16.7196,14.2396,179.995,147.116
20-23,Monday,29/07/2019,A,1,male,Pin.Yel,7,1,HA_C2,Control,a6847,,Social,Novel,Aggression,Predator,1025.25,5.69595,9.35635,21051.8,44.4789,38.639,97.6776,7.19982,7.75981,4.1599,19.5195,0.639984,4.39989,150.876,21.5195,7.59981,179.995,124.797
20-23,Monday,29/07/2019,A,1,male,Ora.Yel,8,1,HA_C2,Control,a7153,,Social,Novel,Aggression,Predator,1593.45,8.85269,5.96882,13429.8,0,35.8391,120.637,5.43986,4.87988,1.99995,7.9998,0,3.19992,162.636,13.5197,3.8399,179.995,168.156
20-23,Monday,29/07/2019,A,1,female,Red.Pur,9,1,HA_T2,Treatment,a7222,,Social,Novel,Aggression,Predator,1492.79,8.29346,8.49097,19104.7,0,50.0787,82.3179,5.43986,8.71978,5.27987,20.7195,0,7.43981,147.596,21.9195,10.4797,179.995,168.076
20-23,Monday,29/07/2019,A,1,female,Whi._,11,1,HA_T2,Treatment,a8050,"RE-RUN, Covers fell down towards end, may exclude",Social,Novel,Aggression,Predator,1374.35,7.63548,16.5829,37311.4,49.4388,25.1194,58.7985,5.99985,9.03977,60.2385,12.5597,2.87993,5.35987,92.1577,20.9595,66.8783,179.995,123.917
20-23,Tuesday,30/07/2019,A,1,male,Bro.Ora,1,1,HA_C3,Control,a7361,,Social,Novel,Aggression,Predator,1980.41,11.0026,9.09764,20469.7,0,25.2794,110.397,6.95983,6.63983,12.2397,8.95978,1.43996,8.0798,141.676,19.1995,19.1195,179.995,170.476
20-23,Tuesday,30/07/2019,A,1,male,Red._,2,1,HA_C3,Control,a7611,,Social,Novel,Aggression,Predator,2117.14,11.7622,12.9651,29171.6,0,18.4795,83.2779,12.4797,10.2397,21.1195,12.8797,10.4797,11.0397,110.077,30.6392,39.279,179.995,168.316
20-23,Tuesday,30/07/2019,A,1,female,Whi.Pin,3,1,HA_C3,Control,a7232,,Social,Novel,Aggression,Predator,657.842,3.65477,5.44019,12240.4,0.479988,7.75981,160.156,0.879978,2.71993,1.67996,6.07985,0,0.719982,171.996,5.75986,2.23994,179.995,131.917
20-23,Tuesday,30/07/2019,A,1,female,Pur.Gre,4,1,HA_T3,Treatment,a7160,,Social,Novel,Aggression,Predator,865.133,4.80641,7.68858,17299.3,0.319992,8.39979,143.196,2.47994,3.19992,11.3597,2.95993,3.51991,4.87988,153.676,8.1598,18.1595,179.995,135.677
20-23,Tuesday,30/07/2019,A,1,female,_.Blu,5,1,HA_T3,Treatment,a7459,,Social,Novel,Aggression,Predator,477.369,2.65212,3.35485,7548.42,0.959976,0,179.995,0,0,0,0,0,0,179.995,0,0,179.995,110.797
20-23,Tuesday,30/07/2019,A,1,female,Gre.Yel,6,1,HA_C4,Control,a6971,,Social,Novel,Aggression,Predator,759.073,4.21718,5.7844,13014.9,0,11.3597,152.156,1.43996,1.27997,4.47989,3.9199,1.99995,3.35992,166.716,4.39989,8.87978,179.995,148.236
20-23,Tuesday,30/07/2019,A,1,male,_.Yel,7,1,HA_C4,Control,a6807,,Social,Novel,Aggression,Predator,981.569,5.4533,7.17814,16150.8,0,31.2792,113.997,4.63988,6.55984,4.55989,11.3597,0.159996,7.43981,153.196,16.3196,10.4797,179.995,169.436
20-23,Tuesday,30/07/2019,A,1,female,Pur.Red,8,1,HA_C4,Control,a7578,,Social,Novel,Aggression,Predator,916.517,5.09189,4.49479,10113.3,0.319992,12.1597,155.996,1.59996,2.87993,0.959976,5.59986,0,0.79998,172.076,6.39984,1.51996,179.995,149.196
20-23,Tuesday,30/07/2019,A,1,male,Bro.Yel,9,1,HA_T4,Treatment,a7728,,Social,Novel,Aggression,Predator,949.176,5.27333,8.05745,18129.3,0.319992,17.4396,135.197,4.0799,4.87988,4.23989,8.79978,2.15995,3.19992,158.476,12.8797,8.63978,179.995,141.836
20-23,Tuesday,30/07/2019,A,1,male,Bla.Pin,10,1,HA_T4,Treatment,a7138,,Social,Novel,Aggression,Predator,2488.6,13.8259,16.6406,37441.2,0,23.6794,42.0789,19.5195,16.5596,35.9191,17.0396,3.03992,22.1594,76.6381,48.6388,54.7186,179.995,177.516
27-30,Monday,29/07/2019,A,1,male,Ora.Bla,1,1,HA_C1,Control,a7403,,Social,Novel,Aggression,Predator,1881.63,10.4537,15.524,34929,0,47.1188,32.7192,12.0797,13.2797,30.7992,21.9195,7.35982,14.7196,93.5977,37.2791,49.1188,179.995,171.276
27-30,Monday,29/07/2019,A,1,female,Blu.Blu,2,1,HA_C1,Control,a7659,,Social,Novel,Aggression,Predator,1528.96,8.49444,18.1475,40831.8,0.079998,9.19977,1.83995,25.1994,37.6791,15.2796,54.3186,11.9197,24.5594,41.199,95.1176,43.6789,179.995,174.956
27-30,Monday,29/07/2019,A,1,male,Red.Yel,3,1,HA_C1,Control,a7563,,Social,Novel,Aggression,Predator,1309.29,7.27401,13.3184,29966.5,0.159996,37.9191,62.7984,10.7997,13.0397,8.95978,17.7596,20.1595,8.55979,113.277,32.4792,34.2391,179.995,158.956
27-30,Monday,29/07/2019,A,1,female,Ora.Ora,4,1,HA_T1,Treatment,a7379,,Social,Novel,Aggression,Predator,1926.27,10.7018,13.5314,30445.6,0.159996,55.9986,27.1993,11.9997,14.1596,22.3994,30.1592,2.87993,15.1996,106.317,37.7591,35.9191,179.995,176.156
27-30,Monday,29/07/2019,A,1,male,Pin.Bro,5,1,HA_T1,Treatment,a7191,,Social,Novel,Aggression,Predator,1117.66,6.20935,28.1114,63250.6,0,7.9198,0.719982,11.5197,8.55979,43.1189,11.9197,74.3981,21.8395,17.3596,28.8793,133.757,179.995,170.716
27-30,Monday,29/07/2019,A,1,male,Ora.Bro,6,1,HA_C2,Control,a6967,,Social,Novel,Aggression,Predator,1449.24,8.05156,14.2654,32097.2,13.5997,39.839,42.3189,13.5197,14.8796,24.4794,24.2394,5.19987,15.5196,99.1975,41.439,39.359,179.995,161.356
27-30,Monday,29/07/2019,A,1,male,Pin.Yel,7,1,HA_C2,Control,a6847,,Social,Novel,Aggression,Predator,423.316,2.35181,22.0625,49640.6,128.157,1.83995,0,90.3177,4.79988,4.0799,13.5197,0,65.4384,11.5997,156.796,11.5997,179.995,40.079
27-30,Monday,29/07/2019,A,1,male,Ora.Yel,8,1,HA_C2,Control,a7153,,Social,Novel,Aggression,Predator,2235.16,12.4179,13.6253,30656.8,0,47.8388,40.559,16.5596,16.3196,16.4796,21.5995,2.07995,18.5595,103.357,44.8789,31.7592,179.995,174.716
