,Stim,Day,Date,Video,Arena,Sex,Mark,Session,Camera,Tank,Group,Fish_ID,Notes,tot_dist,mean_speed,mean_dist_05,tot_dist_05,freeze_mean,freeze_dur,zone_510_dur,zone_05_dur,zone_2025_dur,zone_1520_dur,zone_3035_dur,zone_1015_dur,zone_3540_dur,zone_2530_dur,zone_near_dur,zone_middle_dur,zone_far_dur,arena_dur,moving_dur
266,Predator,Tuesday,30/07/2019,C,3,female,Gre.Pin,3,1,HA_C3,Control,a7679,NA,1762.62,9.79259,27.5948,62088.4,5.91985,11.8397,4.95988,3.27992,13.2797,4.87988,93.0377,5.75986,18.7995,35.9991,12.2397,28.3193,139.437,179.995,164.876
267,Predator,Tuesday,30/07/2019,B,2,female,Ora.Pin,4,1,HA_T3,Treatment,a7556,NA,1532.13,8.51207,16.6012,37352.6,-,0,31.7592,31.1192,18.9595,19.8395,30.2392,20.2395,7.67981,20.1595,75.6781,53.1187,51.1987,179.995,177.196
268,Predator,Tuesday,30/07/2019,C,3,female,Red.Red,4,1,HA_T3,Treatment,a8063,NA,555.911,3.08847,28.8145,64832.5,17.8929,107.357,2.79993,1.11997,2.71993,3.9199,103.677,3.67991,3.8399,58.2385,6.39984,9.75976,163.836,179.995,58.7985
269,Predator,Tuesday,30/07/2019,B,2,male,Blu.Pin,5,1,HA_T3,Treatment,a6882,NA,2033.71,11.2987,19.2799,43379.8,8.00E-02,0.079998,25.5994,27.2793,14.6396,12.8797,27.6793,16.5596,38.879,16.4796,63.8384,38.079,78.078,179.995,171.436
270,Predator,Tuesday,30/07/2019,C,3,male,Red.Pur,5,1,HA_T3,Treatment,a7325,NA,1551.83,8.6215,20.1874,45421.7,8.00E-02,0.079998,30.3192,18.6395,13.4397,13.2797,33.9192,22.0794,28.0793,20.2395,63.4384,40.479,76.0781,179.995,170.396
271,Predator,Tuesday,30/07/2019,B,2,male,Whi.Ora,6,1,HA_C4,Control,a7184,NA,1783.25,9.90719,19.9171,44813.5,-,0,30.5592,15.1996,17.5996,14.0796,50.9587,16.7996,12.6397,22.1594,58.3985,42.4789,79.118,179.995,175.436
272,Predator,Tuesday,30/07/2019,C,3,male,Ora.Gre,6,1,HA_C4,Control,a7492,NA,1434.39,7.96905,22.7776,51249.6,2.6666,7.9998,8.95978,4.1599,23.7594,22.7194,56.3986,24.6394,13.4397,25.9194,25.5194,66.8783,87.5978,179.995,155.116
273,Predator,Tuesday,30/07/2019,B,2,female,Bro._,7,1,HA_C4,Control,a7367,NA,1996.12,11.0898,15.8298,35617.1,-,0,39.599,22.6394,15.7596,18.4795,25.6794,30.8792,12.3197,14.6396,83.4379,48.3988,48.1588,179.995,177.276
274,Predator,Tuesday,30/07/2019,C,3,male,_.Pin,7,1,HA_C4,Control,a6839,NA,1283.1,7.12854,11.9986,26996.8,0.279993,0.559986,53.0387,40.399,9.51976,12.2397,8.55979,38.079,11.9197,6.23984,123.837,30.9592,25.1994,179.995,167.836
275,Predator,Tuesday,30/07/2019,B,2,female,Bro.Whi,8,1,HA_C4,Control,a7438,NA,1210.33,6.72424,23.8021,53554.8,36.1591,36.1591,13.0397,0.879978,18.7195,17.5996,79.438,21.5995,12.1597,16.5596,27.8393,49.5188,102.637,179.995,139.917
276,Predator,Tuesday,30/07/2019,C,3,female,_.Ora,8,1,HA_C4,Control,a7059,NA,1116.94,6.20536,16.5252,37181.7,8.00E-02,0.079998,38.319,32.4792,14.5596,12.3997,25.9993,18.0795,22.1594,15.9996,84.1579,36.7191,59.1185,179.995,173.756
277,Predator,Tuesday,30/07/2019,B,2,female,Bro.Whi,9,1,HA_T4,Treatment,a7358,NA,701.822,3.89911,30.2623,68090.3,17.3996,69.5983,0,0,5.27987,3.11992,125.997,2.79993,24.9594,17.8396,1.83995,14.0796,164.076,179.995,84.3179
278,Predator,Tuesday,30/07/2019,C,3,female,Ora.Whi,9,1,HA_T4,Treatment,a7409,NA,1377.19,7.65126,14.4439,32498.8,-,0,50.5587,37.7591,13.0397,15.1996,21.3595,19.8395,9.99975,12.2397,102.797,37.0391,40.159,179.995,177.996
279,Predator,Tuesday,30/07/2019,B,2,male,_.Red,10,1,HA_T4,Treatment,a8057,NA,1213.85,6.74378,5.95222,13392.5,-,0,56.1586,106.637,0.39999,4.31989,0,12.4797,0,0,172.396,7.59981,0,179.995,169.916
280,Predator,Tuesday,30/07/2019,C,3,male,Whi.Ora,10,1,HA_T4,Treatment,a7646,NA,1506.92,8.37201,14.2005,31951.2,-,0,40.799,11.9197,15.9196,22.6394,14.6396,55.2786,5.03987,13.7597,90.3177,61.6785,27.9993,179.995,176.636
281,Predator,Tuesday,NA,M,5,female,Whi.Pur,1,2,HA_C4,Control,a7259,NA,1550.9,8.61634,16.8773,37973.9,0.106664,0.639984,38.239,43.8389,14.6396,13.6797,26.6393,17.9196,8.71978,16.3196,94.7976,38.239,46.9588,179.995,157.676
282,Predator,Tuesday,NA,P,8,female,Pin.Bla,1,2,HA_C4,Control,a8045,NA,1595.56,8.86445,12.4626,28040.9,-,0,34.6391,61.0385,13.1997,13.5197,13.8397,24.2394,7.43981,12.0797,113.277,37.9191,28.7993,179.995,174.956
