"","X","Time","Day","Date","Video","Arena","Sex","Mark","Session","Camera","Tank","Group","Fish_ID","Notes","tot_dist","mean_speed","mean_dist_05","tot_dist_05","freeze_mean","freeze_dur","zone_510_dur","zone_05_dur","zone_2025_dur","zone_1520_dur","zone_3035_dur","zone_1015_dur","zone_3540_dur","zone_2530_dur","zone_near_dur","zone_middle_dur","zone_far_dur","arena_dur","moving_dur"
"165",1605,"13-16","Wednesday",NA,"J",2,"male","Bro.Pur",2,1,"HA_C2","Control","a7729",NA,635.133,3.52861,5.88106,13232.4,"8.4637899999999995",42.3189,22.3194,146.076,1.35997,1.91995,1.51996,3.35992,0,3.43991,170.876,6.95983,2.15995,179.995,107.677
"166",1606,"13-16","Wednesday",NA,"K",3,"male","Blu.Blu",2,1,"HA_C2","Control","a7006",NA,738.041,4.10033,5.44973,12261.9,"0.639984",1.27997,10.8797,158.476,1.35997,1.43996,1.99995,2.79993,1.59996,1.43996,171.436,4.0799,4.47989,179.995,134.477
"167",1607,"13-16","Wednesday",NA,"L",4,"female","Pin.Bro",2,1,"HA_C2","Control","a7284",NA,1469.76,8.1837,9.22687,20723.6,"7.9998E-2",0.079998,22.8794,110.717,6.55984,5.59986,15.6796,9.67976,1.35997,7.03982,140.716,16.9596,21.8395,179.916,171.836
"168",1608,"13-16","Wednesday",NA,"P",8,"female","Red._",2,2,"HA_C2","Control","a8064",NA,1012.1,5.62289,6.82093,15347.1,"22.479399999999998",22.4794,30.3992,129.517,2.07995,2.23994,5.51986,4.31989,2.63993,3.27992,162.716,6.55984,10.7197,179.995,147.996
"169",1609,"13-16","Wednesday",NA,"J",2,"male","Ora.Bro",3,1,"HA_C2","Control","a6967",NA,650.305,3.61289,5.69336,12810.1,"1.01997",16.3196,6.63983,165.836,2.79993,1.35997,0,1.59996,0,1.75996,173.436,5.75986,0.79998,179.995,97.9176
"170",1610,"13-16","Wednesday",NA,"K",3,"male","Whi.Yel",3,1,"HA_C2","Control","a7370",NA,462.533,2.56969,4.87093,10959.6,"0.77598100000000003",7.75981,0.319992,171.036,0.239994,0.159996,7.59981,0.239994,0,0.39999,171.516,0.639984,7.8398,179.995,99.1175
"171",1611,"13-16","Wednesday",NA,"L",4,"male","Pur.Blu",3,1,"HA_C2","Control","a7163",NA,1554.59,8.6368,7.63535,17179.5,"-",0,34.2391,113.437,3.75991,3.9999,9.51976,8.87978,0,6.15985,154.156,11.5997,14.2396,179.995,175.356
"172",1612,"13-16","Wednesday",NA,"P",8,"male","Ora.Yel",3,2,"HA_T2","Treatment","a7411",NA,621.271,3.45159,33.6115,75625.8,"0.17332900000000001",1.03997,0,0,0,0,22.3994,0,157.596,0,0,0,179.995,179.995,130.557
"173",1613,"13-16","Wednesday",NA,"J",2,"male","Wh.Pin",4,1,"HA_T2","Treatment","a7375",NA,856.587,4.75893,7.90083,17776.9,"1.1542600000000001",8.0798,12.2397,139.197,2.79993,2.55994,8.71978,5.27987,5.43986,3.75991,154.796,8.39979,16.7996,179.995,127.997
"174",1614,"13-16","Wednesday",NA,"K",3,"female","Pin.Pin",4,1,"HA_T2","Treatment","a6840",NA,886.527,4.92528,18.6769,42023.1,"2.4586100000000002",36.8791,9.91975,69.5983,3.27992,2.87993,81.998,4.39989,1.27997,6.63983,82.7179,8.63978,88.6378,179.995,84.8779
"175",1615,"13-16","Wednesday",NA,"L",4,"female","Pur.Pur",4,1,"HA_T2","Treatment","a6932",NA,321.862,1.78817,4.60073,10351.7,"0.70152099999999995",9.11977,0.879978,175.756,0.319992,0.239994,2.07995,0.319992,0,0.39999,176.876,0.719982,2.39994,179.995,59.9185
"176",1616,"13-16","Wednesday",NA,"P",8,"female","Ora.Pur",4,2,"HA_T2","Treatment","a8071",NA,939.205,5.21794,5.36373,12068.4,"-",0,13.1997,155.196,0.79998,0.879978,1.59996,3.43991,3.67991,1.19997,170.796,3.11992,6.07985,179.995,160.156
