Time,Video_ID,Arena,Day,Camera,Session,Tank,Group,Mark,Sex,Fish_ID,Date,Notes,tot_dist,mean_speed,freeze Not Moving / center-point Frequency,freeze Not Moving / center-point Cumulative Duration s,in_det_zone 5-10cm / center-point Frequency,in_det_zone 5-10cm / center-point Cumulative Duration s,in_det_zone 0-5cm / center-point Frequency,zone_05_dur,in_det_zone 20-25cm / center-point Frequency,in_det_zone 20-25cm / center-point Cumulative Duration s,in_det_zone 15-20cm / center-point Frequency,in_det_zone 15-20cm / center-point Cumulative Duration s,in_det_zone 30-35cm / center-point Frequency,in_det_zone 30-35cm / center-point Cumulative Duration s,in_det_zone 10-15cm / center-point Frequency,in_det_zone 10-15cm / center-point Cumulative Duration s,in_det_zone 35-40cm / center-point Frequency,in_det_zone 35-40cm / center-point Cumulative Duration s,in_det_zone 25-30cm / center-point Frequency,in_det_zone 25-30cm / center-point Cumulative Duration s,in_zone Near / center-point Frequency,in_zone Near / center-point Cumulative Duration s,in_zone Middle / center-point Frequency,in_zone Middle / center-point Cumulative Duration s,in_zone Far / center-point Frequency,in_zone Far / center-point Cumulative Duration s,risk_3 Arena / center-point Cumulative Duration s,move Moving / center-point Cumulative Duration s
9-12,1.2,2,Monday,1,8,HA_T3,Treatment,Gre.Ora,female,a7686,9/09/2019,,1714.94,9.52746,0,0,28,16.64,11,21.5999,42,20.7199,47,22.4799,39,30.1599,41,23.9999,23,26.8799,35,17.52,24,54.3199,40,56.6399,16,69.0398,180,176.08
9-12,1.3,3,Monday,1,8,HA_T3,Treatment,Red.Red,female,a8063,9/09/2019,,926.457,5.14699,11,34.1599,24,52.5599,13,56.4799,21,10.24,22,13.12,12,25.8399,22,8.39998,2,4.79999,19,8.55997,11,114.88,19,28.3999,9,36.7199,180,117.52
9-12,1.4,4,Monday,1,8,HA_T3,Treatment,Gre.Bro,female,a7296,9/09/2019,,644.402,3.58002,20,106,7,3.75999,1,5.19999,23,6.47999,20,8.95998,14,134.56,16,5.03999,0,0,26,16,9,11.84,23,24.9599,15,143.2,180,51.1999
9-12,2.1,5,Monday,2,8,HA_C4,Control,Whi.Whi,female,a7661,9/09/2019,,834.409,4.63562,7,0.719999,21,22.8799,21,156.48,0,0,0,0,0,0,1,0.639998,0,0,0,0,1,180,0,0,0,0,180,149.36
9-12,2.2,6,Monday,2,8,HA_C4,Control,Pin.Blu,male,a7696,9/09/2019,,1123.94,6.24412,1,0.479998,36,44.1599,21,52.3999,17,10.72,20,13.84,15,15.04,27,22.8799,8,12.16,15,8.79998,12,114.64,19,32.1599,8,33.1999,180,174
9-12,2.4,8,Monday,2,8,HA_C4,Control,Bro._,female,a7367,9/09/2019,,2104.56,11.692,0,0,40,38.5599,18,18.32,55,18.4,55,21.6799,39,31.5999,50,25.6799,12,5.91998,55,19.84,26,74.2398,54,54.1599,28,51.5999,180,178.64
9-12,4.3,7,Monday,2,8,HA_C4,Control,Bla.Bla,female,a7601,9/09/2019,,1153.39,6.40776,2,0.719998,36,25.9999,20,84.8798,15,7.27998,17,9.27998,14,17.04,26,18.08,7,8.95998,15,8.47998,12,124.64,20,23.8399,8,31.5199,180,166.88
9-12,1.1,1,Monday,1,9,HA_C4,Control,_.Ora,female,a7059,9/09/2019,,599.673,3.33152,10,1.04,13,9.67998,9,164,0,0,1,1.36,0,0,6,4.95999,0,0,0,0,2,178.24,1,1.75999,0,0,180,132.96
9-12,1.2,2,Monday,1,9,HA_C4,Control,_.Yel,male,a6807,9/09/2019,,1507.17,8.37321,0,0,26,18.64,10,13.92,40,18.8,36,17.44,43,26.9599,32,21.4399,21,42.4799,42,20.3199,18,47.1199,36,48.3199,19,84.5598,180,175.12
9-12,1.3,3,Monday,1,9,HA_C4,Control,_.Gre,female,a7020,9/09/2019,,1013.05,5.62805,7,24.3199,29,27.1999,19,109.84,19,6.63998,20,9.03998,12,9.03998,21,8.39998,5,2.23999,16,7.59998,11,142.88,19,21.1199,8,16,180,115.04
9-12,1.4,4,Monday,1,9,HA_C4,Control,Gre.Yel,female,a6971,9/09/2019,,1191.71,6.62064,1,0.08,37,29.6799,19,34.3199,23,19.68,30,27.6799,15,17.28,35,27.2799,6,10.56,19,13.52,16,83.3598,24,59.9999,9,36.6399,180,173.04
9-12,2.1,5,Monday,2,9,HA_C4,Control,Whi.Pur,female,a7259,9/09/2019,,598.925,3.32737,4,0.319998,15,12.8,13,164.72,0,0,1,1.2,0,0,3,1.28,0,0,0,0,2,178.56,1,1.44,0,0,180,133.36
9-12,2.2,6,Monday,2,9,HA_C4,Control,Yel.Pin,male,a8066,9/09/2019,,1371.65,7.62029,0,0,38,34.5599,20,33.4399,29,19.2,29,19.5199,22,19.28,33,24.7199,9,10.4,28,18.88,17,82.6398,31,54.5599,15,42.7999,180,176.96
